Instance,Trucks Submitted,Flight Limit,Algorithm,Runs,Objective Mean,Objective Std,Paper Makespan Mean,Paper Makespan Std,Time Mean,Time Std,Seeds
MTLARP5_8_6_1.dat,3,1368.000000,vnd,3,3358.463239,64.862592,3358.463239,64.862592,133.431401,10.179836,0;1;2
MTLARP5_8_6_1.dat,3,1368.000000,vns,3,3343.053074,86.154178,3343.053074,86.154178,175.454410,10.862258,0;1;2
MTLARP5_8_6_1.dat,4,1368.000000,lns,3,2879.016713,25.304234,2879.016713,25.304234,185.292625,11.041224,0;1;2
MTLARP5_8_6_1.dat,4,1368.000000,vnd,3,2904.078240,5.235413,2904.078240,5.235413,141.995253,5.082793,0;1;2
MTLARP5_8_6_1.dat,4,1368.000000,vns,3,2897.207351,40.203926,2897.207351,40.203926,181.545214,18.076368,0;1;2
MTLARP5_8_6_1.dat,5,1368.000000,lns,3,2470.697071,23.553253,2470.697071,23.553253,199.489800,17.058829,0;1;2
MTLARP5_8_6_1.dat,5,1368.000000,vnd,3,2519.534919,22.453837,2519.534919,22.453837,164.499456,14.531414,0;1;2
MTLARP5_8_6_1.dat,5,1368.000000,vns,3,2492.822656,78.581507,2492.822656,78.581507,177.548990,23.046511,0;1;2
MTLARP5_8_6_2.dat,2,1003.000000,lns,3,5308.831023,38.795213,5308.831023,38.795213,243.823487,120.603287,0;1;2
MTLARP5_8_6_2.dat,2,1003.000000,vnd,3,5461.424119,146.348455,5461.424119,146.348455,174.059649,95.333557,0;1;2
MTLARP5_8_6_2.dat,2,1003.000000,vns,3,5324.566784,0.709641,5324.566784,0.709641,266.750081,64.610070,0;1;2
MTLARP5_8_6_2.dat,3,1003.000000,lns,3,3698.062541,122.378594,3698.062541,122.378594,132.437798,116.405558,0;1;2
MTLARP5_8_6_2.dat,3,1003.000000,vnd,3,3758.257987,21.878440,3758.257987,21.878440,94.733987,84.691168,0;1;2
MTLARP5_8_6_2.dat,3,1003.000000,vns,3,3665.633690,125.947369,3665.633690,125.947369,189.484305,26.998322,0;1;2
MTLARP5_8_6_2.dat,4,1003.000000,lns,3,2960.829351,16.504983,2960.829351,16.504983,417.139596,14.258754,0;1;2
MTLARP5_8_6_2.dat,4,1003.000000,vnd,3,3009.522051,15.516220,3009.522051,15.516220,346.698274,9.502595,0;1;2
MTLARP5_8_6_2.dat,4,1003.000000,vns,3,2992.034278,33.904828,2992.034278,33.904828,385.403920,21.098412,0;1;2
MTLARP5_8_6_2.dat,5,1003.000000,lns,3,2436.926909,17.363677,2436.926909,17.363677,442.458953,14.586111,0;1;2
MTLARP5_8_6_2.dat,5,1003.000000,vnd,3,2470.251788,19.690075,2470.251788,19.690075,359.307001,18.826526,0;1;2
MTLARP5_8_6_2.dat,5,1003.000000,vns,3,2522.978698,48.856847,2522.978698,48.856847,387.570218,14.569558,0;1;2
