Instance,Trucks Submitted,Flight Limit,Algorithm,Runs,Objective Mean,Objective Std,Paper Makespan Mean,Paper Makespan Std,Time Mean,Time Std,Seeds
MTLARP5_6_3_1.dat,2,1287.000000,lns,3,3244.340785,0.000731,3244.340785,0.000731,51.577139,1.341647,0;1;2
MTLARP5_6_3_1.dat,2,1287.000000,vnd,3,3244.341207,0.000731,3244.341207,0.000731,35.262505,1.761038,0;1;2
MTLARP5_6_3_1.dat,2,1287.000000,vns,3,3244.341207,0.000731,3244.341207,0.000731,67.861409,3.248233,0;1;2
MTLARP5_6_3_2.dat,2,1987.000000,lns,3,3375.638317,19.903559,3375.638317,19.903559,70.864461,5.941875,0;1;2
MTLARP5_6_3_2.dat,2,1987.000000,vnd,3,3442.243744,20.269933,3442.243744,20.269933,49.159801,6.598163,0;1;2
MTLARP5_6_3_2.dat,2,1987.000000,vns,3,3406.267352,70.657913,3406.267352,70.657913,84.145661,6.129258,0;1;2
MTLARP5_6_4_1.dat,2,1184.000000,lns,3,3364.016725,77.495488,3364.016725,77.495488,58.686855,6.646606,0;1;2
MTLARP5_6_4_1.dat,2,1184.000000,vnd,3,3308.889702,37.763603,3308.889702,37.763603,47.466844,3.338146,0;1;2
MTLARP5_6_4_1.dat,2,1184.000000,vns,3,3455.884026,35.355894,3455.884026,35.355894,61.027164,2.351868,0;1;2
MTLARP5_6_4_1.dat,3,1184.000000,lns,3,2488.272973,39.490136,2488.272973,39.490136,58.545830,1.788332,0;1;2
MTLARP5_6_4_1.dat,3,1184.000000,vnd,3,2522.414583,12.450446,2522.414583,12.450446,44.266559,1.723547,0;1;2
MTLARP5_6_4_1.dat,3,1184.000000,vns,3,2530.398454,1.378025,2530.398454,1.378025,56.032028,5.574011,0;1;2
MTLARP5_6_4_2.dat,2,1485.000000,lns,3,3253.220666,0.000000,3253.220666,0.000000,68.140260,4.245666,0;1;2
MTLARP5_6_4_2.dat,2,1485.000000,vnd,3,3271.695295,31.998996,3271.695295,31.998996,54.201951,10.825480,0;1;2
MTLARP5_6_4_2.dat,2,1485.000000,vns,3,3253.220666,0.000000,3253.220666,0.000000,73.554079,1.047893,0;1;2
MTLARP5_6_4_2.dat,3,1485.000000,lns,3,2477.281967,38.266555,2477.281967,38.266555,81.112470,4.241804,0;1;2
MTLARP5_6_4_2.dat,3,1485.000000,vnd,3,2513.855787,38.953509,2513.855787,38.953509,61.531985,7.619665,0;1;2
MTLARP5_6_4_2.dat,3,1485.000000,vns,3,2483.006221,46.323207,2483.006221,46.323207,87.566302,6.980861,0;1;2
MTLARP5_6_5_1.dat,2,1119.000000,lns,3,2660.444574,0.000000,2660.444574,0.000000,51.529396,0.969754,0;1;2
MTLARP5_6_5_1.dat,2,1119.000000,vnd,3,2643.469941,50.103489,2643.469941,50.103489,40.722250,7.018319,0;1;2
MTLARP5_6_5_1.dat,2,1119.000000,vns,3,2660.444574,0.000000,2660.444574,0.000000,54.789404,3.124103,0;1;2
MTLARP5_6_5_1.dat,3,1119.000000,lns,3,1770.287763,46.973150,1770.287763,46.973150,62.117503,0.598575,0;1;2
MTLARP5_6_5_1.dat,3,1119.000000,vnd,3,1827.160175,55.833133,1827.160175,55.833133,43.117760,3.788492,0;1;2
MTLARP5_6_5_1.dat,3,1119.000000,vns,3,1843.768520,56.126585,1843.768520,56.126585,71.579098,3.824599,0;1;2
MTLARP5_6_5_1.dat,4,1119.000000,lns,3,1405.715841,0.934986,1405.715841,0.934986,66.956612,3.826685,0;1;2
MTLARP5_6_5_1.dat,4,1119.000000,vnd,3,1427.791356,37.300926,1427.791356,37.300926,51.378967,1.895799,0;1;2
MTLARP5_6_5_1.dat,4,1119.000000,vns,3,1466.308655,56.233061,1466.308655,56.233061,68.630898,4.252503,0;1;2
MTLARP5_6_5_2.dat,2,996.000000,lns,3,3520.022941,78.120894,3520.022941,78.120894,95.587159,13.670297,0;1;2
MTLARP5_6_5_2.dat,2,996.000000,vnd,3,3514.604714,77.342296,3514.604714,77.342296,74.811402,14.777569,0;1;2
MTLARP5_6_5_2.dat,2,996.000000,vns,3,3567.493424,23.988526,3567.493424,23.988526,101.654184,7.474975,0;1;2
MTLARP5_6_5_2.dat,3,996.000000,lns,3,2580.731382,26.463529,2580.731382,26.463529,110.169636,4.635996,0;1;2
MTLARP5_6_5_2.dat,3,996.000000,vnd,3,2580.731382,26.463529,2580.731382,26.463529,81.632235,5.927344,0;1;2
MTLARP5_6_5_2.dat,3,996.000000,vns,3,2589.824472,11.920889,2589.824472,11.920889,113.548110,7.932042,0;1;2
