Trial,Seed,Parameters,Algorithm,Instance,Base,Flight Limit,Trucks Used,Trucks Submitted,Objective,Paper Makespan,Time,Flight Optimizer,Convergence Iterations,Convergence Count,Convergence First Objective,Convergence Final Objective,Convergence Improvement,Convergence Improvement Percent
22,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2503.901038,2503.901038,61.496778,bc,initial_pool@0;candidate1:lns@148;candidate1:lns@149;candidate1:candidate_vnd@200;candidate2:lns@2;candidate2:lns@6;candidate2:lns@8;candidate2:lns@11;candidate2:candidate_vnd@200;candidate2:splitting@2,10,2770.681691,2503.901038,266.780653,9.628701
23,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2506.900445,2506.900445,66.930206,bc,initial_pool@0;candidate1:lns@100;candidate1:candidate_vnd@200,3,2508.641058,2506.900445,1.740613,0.069385
24,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2498.614626,2498.614626,54.125783,bc,initial_pool@0;candidate1:lns@22;candidate1:lns@27;candidate1:candidate_vnd@200;candidate3:splitting@3,5,2731.566427,2498.614626,232.951801,8.528140
25,0,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2533.945551,2533.945551,40.921504,bc,0;1,2,2770.681691,2533.945551,236.736139,8.544328
26,1,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2506.900445,2506.900445,32.618847,bc,0;1,2,2506.900445,2506.900445,0.000000,0.000000
27,2,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,2,2,2537.580760,2537.580760,29.817118,bc,0;1,2,2537.580760,2537.580760,0.000000,0.000000
28,0,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1922.697753,1922.697753,93.228406,bc,initial@0;improvement@1;improvement@1;improvement@2;restart_elite@32;restart_elite@62;restart_elite@92;final_splitting@100,8,2035.832199,1922.697753,113.134446,5.557160
29,1,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1933.484147,1933.484147,82.101467,bc,initial@0;improvement@2;improvement@31;restart_elite@61;restart_elite@91;final@100,6,1971.041482,1933.484147,37.557334,1.905456
30,2,vns_k_max=2;vns_max_iter=100,vns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1933.484147,1933.484147,78.863463,bc,initial@0;restart_elite@30;restart_elite@60;restart_new_pool@90;final@100,5,1933.484147,1933.484147,0.000000,0.000000
31,0,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1934.301382,1934.301382,81.125198,bc,initial_pool@0;candidate1:lns@40;candidate1:lns@42;candidate1:lns@50;candidate1:lns@62;candidate1:candidate_vnd@200,6,2035.832199,1934.301382,101.530816,4.987190
32,1,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1882.997198,1882.997198,80.247187,bc,initial_pool@0;candidate1:lns@35;candidate1:candidate_vnd@200;candidate3:splitting@3,4,1971.041482,1882.997198,88.044284,4.466891
33,2,lns_destroy_frac=0.4;lns_max_iter=200,lns,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1926.546150,1926.546150,60.543336,bc,initial_pool@0;candidate8:lns@195;candidate8:lns@200;candidate8:candidate_vnd@200,4,1933.484147,1926.546150,6.937998,0.358834
34,0,vnd_default,vnd,MTLARP5_5_4_1.dat,20,1159.000000,3,3,1954.233944,1954.233944,49.634845,bc,0;1,2,2035.832199,1954.233944,81.598254,4.008103
